seasonid,season_start,season_end,era,league_id,mvp_tie,season_mvp,player_name,player_full_name,nba_mvps,position,positions_played,shooting_hand,height,height_inches,weight,bref_url_player,teamid_mvp_bref,team_name_mvp_bref,current_team_name,current_team,current_team_conference,current_team_division,current_team_hex_color,mvp_age,birth_year,birthdate,birth_city,birth_state,birth_location,birth_longitude,birth_latitude,college,draft_team,draft_position,pick_round,round_pick,overall_pick,draft_year,nba_debut,aba_debut,nba_hof_year,player_numbers,hs_location,high_school,hs_city,hs_state,hs_longitude,hs_latitude,hs_year,hs_rank,as_coach,coach_seasons,coach_win_percentage,coach_wins,coach_losses,games_played,minutes_per_game,points_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,win_share,win_share_per_48
1965-66,1965,1966,1960 to 1969,NBA,FALSE,TRUE,Wilt Chamberlain,Wilton Norman Chamberlain,4,C,1,Right,7'1,85,275,http://www.basketball-reference.com/players/c/chambwi01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,29,1936,8/21/36,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",-75.163789,39.952335,University of Kansas,Philadelphia Warriors,territorial pick,territorial pick,territorial,territorial,1959,10/24/59,,1979,"13, 13, 13, 13, 13","Philadelphia, Pennsylvania",Overbrook ,Philadelphia,Pennsylvania,-75.163789,39.952335,NA,NA,"1 Yr, 37-47, .440",1,0.44,37,47,79,47.3,33.5,24.6,5.2,NA,NA,54,NA,51.3,21.4,27.5
1966-67,1966,1967,1960 to 1969,NBA,FALSE,TRUE,Wilt Chamberlain,Wilton Norman Chamberlain,4,C,1,Right,7'1,85,275,http://www.basketball-reference.com/players/c/chambwi01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,30,1936,8/21/36,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",-75.163789,39.952335,University of Kansas,Philadelphia Warriors,territorial pick,territorial pick,territorial,territorial,1959,10/24/59,,1979,"13, 13, 13, 13, 13","Philadelphia, Pennsylvania",Overbrook ,Philadelphia,Pennsylvania,-75.163789,39.952335,NA,NA,"1 Yr, 37-47, .440",1,0.44,37,47,81,45.5,24.1,24.2,7.8,NA,NA,68.3,NA,44.1,21.9,28.5
1967-68,1967,1968,1960 to 1969,NBA,FALSE,TRUE,Wilt Chamberlain,Wilton Norman Chamberlain,4,C,1,Right,7'1,85,275,http://www.basketball-reference.com/players/c/chambwi01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,31,1936,8/21/36,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",-75.163789,39.952335,University of Kansas,Philadelphia Warriors,territorial pick,territorial pick,territorial,territorial,1959,10/24/59,,1979,"13, 13, 13, 13, 13","Philadelphia, Pennsylvania",Overbrook ,Philadelphia,Pennsylvania,-75.163789,39.952335,NA,NA,"1 Yr, 37-47, .440",1,0.44,37,47,82,46.8,24.3,23.8,8.6,NA,NA,59.5,NA,38,20.4,25.5
1967-68,1967,1968,1960 to 1969,ABA,FALSE,TRUE,Connie Hawkins,Cornelius L. Hawkins,NA,"SF, PF",2,Right,6'8,80,210,http://www.basketball-reference.com/players/h/hawkico01.html,PTP,Pittsburgh Pipers,Defunct,Defunct,Defunct,Defunct,#fc7251,25,1942,7/17/42,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of Iowa,NA,undrafted,undrafted,undrafted,undrafted,1965,10/16/69,10/23/67,1992,"42, 42, 42, 42, 42","Brooklyn, New York",Boys ,Brooklyn,New York,-73.95,40.65,NA,NA,,NA,NA,NA,NA,70,44.9,26.8,13.5,4.6,NA,NA,51.9,22.2,76.4,17.9,27.3
1968-69,1968,1969,1960 to 1969,NBA,FALSE,TRUE,Wes Unseld,Westley Sissel Unseld,1,C,1,Right,6'7,79,245,http://www.basketball-reference.com/players/u/unselwe01.html,BAL,Baltimore Bullets,Washington Wizards,Wizards,Eastern,Southeast,#C60C30,22,1946,3/14/46,Louisville,Kentucky,"Louisville, Kentucky",-85.7584557,38.2526647,University of Louisville,Baltimore Bullets,1st round - 2nd pick 2nd overall,1,2,2,1968,10/16/68,,1988,"41, 41, 41, 41","Louisville, Kentucky",Seneca ,Louisville,Kentucky,-85.7584557,38.2526647,NA,NA,"7 Yr, 202-345, .369",7,0.369,202,345,82,36.2,13.8,18.2,2.6,NA,NA,47.6,NA,60.5,10.8,17.5
1968-69,1968,1969,1960 to 1969,ABA,FALSE,TRUE,Mel Daniels,Melvin Joe Daniels,NA,C,1,Right,6'9,81,220,http://www.basketball-reference.com/players/d/danieme01.html,INA,Indiana Pacers,Indiana Pacers,Pacers,Eastern,Central,#092c57,24,1944,7/20/44,Detroit,Michigan,"Detroit, Michigan",-83.0457538,42.331427,University of New Mexico,Cincinnati Royals,1st round - 9th pick 9th overall,1,9,9,1967,10/22/76,10/22/67,2012,"34, 34, 9, 34","Detroit, Michigan",Pershing ,Detroit,Michigan,-83.0457538,42.331427,NA,NA,"1 Yr, 0-2, .000",1,0,0,2,76,38.6,24,16.5,1.5,NA,NA,47.6,0,60.4,8.6,14
1969-70,1969,1970,1970 to 1979,ABA,FALSE,TRUE,Spencer Haywood,Spencer Haywood,NA,PF,1,Right,6'8,80,225,http://www.basketball-reference.com/players/h/haywosp01.html,DNR,Denver Rockets,Houston Rockets,Rockets,Western,Southwest,#CE1138,20,1949,4/22/49,Silver City,Mississippi,"Silver City, Mississippi",-90.4967573,33.0965153,University of Detroit Mercy,Buffalo Braves,2nd round - 13th pick 30th overall,2,13,30,1971,1/5/71,10/19/69,NA,"24, 24, 42, 24, 31, 24","Detroit, Michigan",Pershing ,Detroit,Michigan,-83.0457538,42.331427,NA,NA,,NA,NA,NA,NA,84,45.3,30,19.5,2.3,NA,NA,49.3,0,77.6,17.1,21.6
1969-70,1969,1970,1970 to 1979,NBA,FALSE,TRUE,Willis Reed,Willis Reed Jr.,1,"C, PF",2,Left,6'9,81,235,http://www.basketball-reference.com/players/r/reedwi01.html,NYK,New York Knicks,New York Knicks,Knicks,Eastern,Atlantic,#0953a0,27,1942,6/25/42,Hico,Louisiana,"Hico, Louisiana",-92.713611,32.744722,Grambling State University,New York Knicks,2nd round - 1st pick 8th overall,2,1,8,1964,10/17/64,,1982,19,"Lillie, Louisiana",West Side ,Lillie,Louisiana,-92.6568203,32.9320846,NA,NA,"4 Yr, 82-124, .398",4,0.398,82,124,81,38.1,21.7,13.9,2,NA,NA,50.7,NA,75.6,14.6,22.7
1970-71,1970,1971,1970 to 1979,ABA,FALSE,TRUE,Mel Daniels,Melvin Joe Daniels,NA,C,1,Right,6'9,81,220,http://www.basketball-reference.com/players/d/danieme01.html,INA,Indiana Pacers,Indiana Pacers,Pacers,Eastern,Central,#092c57,26,1944,7/20/44,Detroit,Michigan,"Detroit, Michigan",-83.0457538,42.331427,University of New Mexico,Cincinnati Royals,1st round - 9th pick 9th overall,1,9,9,1967,10/22/76,10/22/67,2012,"34, 34, 9, 34","Detroit, Michigan",Pershing ,Detroit,Michigan,-83.0457538,42.331427,NA,NA,"1 Yr, 0-2, .000",1,0,0,2,82,38.7,21,18,2.2,NA,NA,57.7,NA,69,11.4,32.6
1970-71,1970,1971,1970 to 1979,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,MIL,Milwaukee Bucks,Milwaukee Bucks,Bucks,Eastern,Central,#003614,23,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,82,40.1,31.7,16,3.3,NA,NA,51.4,7.7,67.9,22.3,17.3
1971-72,1971,1972,1970 to 1979,ABA,FALSE,TRUE,Artis Gilmore,Artis Gilmore,NA,C,1,Left,7'2,86,240,http://www.basketball-reference.com/players/g/gilmoar01.html,KEN,Kentucky Colonels,Defunct,Defunct,Defunct,Defunct,#191053,22,1949,9/21/49,Chipley,Florida,"Chipley, Florida",-85.538541,30.7818584,Jacksonville University,Chicago Bulls,7th round - 15th pick 117th overall,7,15,117,1971,10/22/76,10/16/71,2011,"53, 53, 53, 53","Dothan, Alabama",Carver ,Dothan,Alabama,-85.3904888,31.2232313,NA,NA,,NA,NA,NA,NA,84,43.6,23.8,17.8,2.7,NA,5,59.8,NA,64.6,19.8,25.9
1971-72,1971,1972,1970 to 1979,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,MIL,Milwaukee Bucks,Milwaukee Bucks,Bucks,Eastern,Central,#003614,24,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,81,44.2,34.8,16.6,4.6,NA,NA,57.4,NA,68.9,25.4,34
1972-73,1972,1973,1970 to 1979,NBA,FALSE,TRUE,Dave Cowens,David William Cowens,1,"C, PF",2,Left,6'9,81,230,http://www.basketball-reference.com/players/c/cowenda01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,24,1948,10/25/48,Newport,Kentucky,"Newport, Kentucky",-84.4957757,39.091449,Florida State University,Boston Celtics,1st round - 4th pick 4th overall,1,4,4,1970,10/13/70,,1991,"18, 36","Newport, Kentucky",Central Catholic ,Newport,Kentucky,-84.4957757,39.091449,NA,NA,"6 Yr, 161-191, .457",6,0.457,161,191,82,41.8,20.5,16.2,4.1,NA,NA,45.2,NA,77.9,12,16.8
1972-73,1972,1973,1970 to 1979,ABA,FALSE,TRUE,Billy Cunningham,William John Cunningham,NA,"SF, PF",2,Left,6'6,78,210,http://www.basketball-reference.com/players/c/cunnibi01.html,CAR,Carolina Cougars,Defunct,Defunct,Defunct,Defunct,#f1c814,29,1943,6/3/43,Brooklyn,New York,"Brooklyn, New York",-73.95,40.65,University of North Carolina,Philadelphia 76ers,1st round - 5th pick 5th overall,1,5,5,1965,10/16/65,10/12/72,1986,"32, 32","Brooklyn, New York",Erasmus Hall ,Brooklyn,New York,-73.95,40.65,NA,NA,"8 Yr, 454-196, .698",8,0.698,454,196,84,38.7,24.1,12,6.3,2.6,NA,48.7,28.6,78.9,11.9,17.6
1973-74,1973,1974,1970 to 1979,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,MIL,Milwaukee Bucks,Milwaukee Bucks,Bucks,Eastern,Central,#003614,26,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,81,43.8,27,14.5,4.8,1.4,3.5,53.9,NA,70.2,18.4,25
1973-74,1973,1974,1970 to 1979,ABA,FALSE,TRUE,Julius Erving,Julius Winfield Erving II,NA,SF,1,Right,6'6,78,200,http://www.basketball-reference.com/players/e/ervinju01.html,NYA,New York Nets,Brooklyn Nets,Nets,Eastern,Atlantic,#000000,23,1950,2/22/50,Roosevelt,New York,"Roosevelt, New York",-73.5890168,40.678713,University of Massachusetts Amherst,Milwaukee Bucks,1st round - 12th pick 12th overall,1,12,12,1972,10/22/76,10/15/71,1993,"32, 32, 6, 6","Roosevelt, New York",Roosevelt ,Roosevelt,New York,-73.5890168,40.678713,NA,NA,,NA,NA,NA,NA,84,40.5,27.4,10.7,5.2,2.3,2.4,51.2,39.5,76.6,16.5,23.3
1974-75,1974,1975,1970 to 1979,NBA,FALSE,TRUE,Bob McAdoo,Robert Allen McAdoo Jr.,1,"C, PF",2,Right,6'9,81,210,http://www.basketball-reference.com/players/m/mcadobo01.html,BUF,Buffalo Braves,Sacramento Kings,Kings,Western,Pacific,#753BBD,23,1951,9/25/51,Greensboro,North Carolina,"Greensboro, North Carolina",-79.7919754,36.0726354,University of North Carolina,Buffalo Braves,1st round - 2nd pick 2nd overall,1,2,2,1972,10/10/72,,2000,"11, 11, 11, 11, 11, 21, 11, 11","Greensboro, North Carolina",Ben Smith ,Greensboro,North Carolina,-79.7919754,36.0726354,NA,NA,,NA,NA,NA,NA,82,43.2,34.5,14.1,2.2,1.1,2.1,45.1,35.4,72.4,17.8,17.4
1974-75,1974,1975,1970 to 1979,ABA,TRUE,TRUE,George McGinnis,George F. McGinnis,NA,"PF, SF",2,Right,6'8,80,235,http://www.basketball-reference.com/players/m/mcginge01.html,INA,Indiana Pacers,Indiana Pacers,Pacers,Eastern,Central,#092c57,24,1950,8/12/50,Indianapolis,Indiana,"Indianapolis, Indiana",-86.158068,39.768403,Indiana University,Philadelphia 76ers,2nd round - 4th pick 22nd overall,2,4,22,1973,10/24/75,10/15/71,NA,"30, 30, 30, 30, 30","Indianapolis, Indiana",George Washington ,Indianapolis,Indiana,-86.158068,39.768403,NA,NA,,NA,NA,NA,NA,79,40.4,29.8,14.3,6.3,2.6,0.7,50.6,33.3,79.9,11.6,24.8
1974-75,1974,1975,1970 to 1979,ABA,TRUE,TRUE,Julius Erving,Julius Winfield Erving II,NA,SF,1,Right,6'6,78,200,http://www.basketball-reference.com/players/e/ervinju01.html,NYA,New York Nets,Brooklyn Nets,Nets,Eastern,Atlantic,#000000,24,1950,2/22/50,Roosevelt,New York,"Roosevelt, New York",-73.5890168,40.678713,University of Massachusetts Amherst,Milwaukee Bucks,1st round - 12th pick 12th overall,1,12,12,1972,10/22/76,10/15/71,1993,"32, 32, 6, 6","Roosevelt, New York",Roosevelt ,Roosevelt,New York,-73.5890168,40.678713,NA,NA,,NA,NA,NA,NA,84,40.5,27.9,10.9,5.5,2.2,1.9,51.2,NA,80.5,17.6,24.2
1975-76,1975,1976,1970 to 1979,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,28,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,82,41.2,27.7,16.9,5,1.5,4.1,52.9,NA,70.3,17,24.2
1975-76,1975,1976,1970 to 1979,ABA,FALSE,TRUE,Julius Erving,Julius Winfield Erving II,NA,SF,1,Right,6'6,78,200,http://www.basketball-reference.com/players/e/ervinju01.html,NYA,New York Nets,Brooklyn Nets,Nets,Eastern,Atlantic,#000000,25,1950,2/22/50,Roosevelt,New York,"Roosevelt, New York",-73.5890168,40.678713,University of Massachusetts Amherst,Milwaukee Bucks,1st round - 12th pick 12th overall,1,12,12,1972,10/22/76,10/15/71,1993,"32, 32, 6, 6","Roosevelt, New York",Roosevelt ,Roosevelt,New York,-73.5890168,40.678713,NA,NA,,NA,NA,NA,NA,84,38.6,29.3,11,5,2.5,1.9,50.7,33,80.1,17.7,26.2
1976-77,1976,1977,1970 to 1979,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,29,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,82,36.8,26.2,13.3,3.9,1.2,3.2,57.9,NA,70.1,17.8,28.3
1977-78,1977,1978,1970 to 1979,NBA,FALSE,TRUE,Bill Walton,William Theodore Walton III,1,C,1,Right,6'11,83,210,http://www.basketball-reference.com/players/w/waltobi01.html,POR,Portland Trail Blazers,Portland Trail Blazers,Trail Blazers,Western,Northwest,#F0163A,25,1952,11/5/52,La Mesa,California,"La Mesa, California",-117.0230839,32.7678287,"University of California, Los Angeles",Portland Trail Blazers,1st round - 1st pick 1st overall,1,1,1,1974,10/18/74,,1993,"32, 32, 32, 32, 5","La Mesa, California",Helix ,La Mesa,California,-117.0230839,32.7678287,NA,NA,,NA,NA,NA,NA,58,33.3,18.9,13.2,5,1,2.5,52.2,NA,72,8.4,20.9
1978-79,1978,1979,1970 to 1979,NBA,FALSE,TRUE,Moses Malone,Moses Eugene Malone,3,"C, PF",2,Right,6'10,82,215,http://www.basketball-reference.com/players/m/malonmo01.html,HOU,Houston Rockets,Houston Rockets,Rockets,Western,Southwest,#CE1138,23,1955,3/23/55,Petersburg,Virginia,"Petersburg, Virginia",-77.4019267,37.2279279,,NA,aba draft pick,aba draft pick,aba draft,aba draft,1974,10/21/76,10/18/74,2001,"22, 13, 20, 21, 24, 2, 4, 4, 2, 8, 2","Petersburg, Virginia",Petersburg ,Petersburg,Virginia,-77.4019267,37.2279279,NA,NA,,NA,NA,NA,NA,82,41.3,24.8,17.6,1.8,1,1.5,54,NA,73.9,14.1,20
1979-80,1979,1980,1980 to 1989,NBA,FALSE,TRUE,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,6,C,1,Right,7'2,86,225,http://www.basketball-reference.com/players/a/abdulka01.html,LAL,Los Angeles Lakers,Los Angeles Lakers,Lakers,Western,Pacific,#4A2583,32,1947,4/16/47,New York,New York,"New York, New York",-73.9780035,40.7056308,"University of California, Los Angeles",Milwaukee Bucks,1st round - 1st pick 1st overall,1,1,1,1969,10/18/69,,1995,"33, 33","New York, New York",Power Memorial ,New York,New York,-73.9780035,40.7056308,NA,NA,,NA,NA,NA,NA,82,38.3,24.8,10.8,4.5,1,3.4,60.4,0,76.5,14.8,22.7
1980-81,1980,1981,1980 to 1989,NBA,FALSE,TRUE,Julius Erving,Julius Winfield Erving II,1,SF,1,Right,6'6,78,200,http://www.basketball-reference.com/players/e/ervinju01.html,PHI,Philadelphia 76ers,Philadelphia 76ers,76ers,Eastern,Atlantic,#0046AD,30,1950,2/22/50,Roosevelt,New York,"Roosevelt, New York",-73.5890168,40.678713,University of Massachusetts Amherst,Milwaukee Bucks,1st round - 12th pick 12th overall,1,12,12,1972,10/22/76,10/15/71,1993,"32, 32, 6, 6","Roosevelt, New York",Roosevelt ,Roosevelt,New York,-73.5890168,40.678713,NA,NA,,NA,NA,NA,NA,82,35,24.6,8,4.4,2.1,1.8,52.1,22.2,78.7,13.8,23.1
1981-82,1981,1982,1980 to 1989,NBA,FALSE,TRUE,Moses Malone,Moses Eugene Malone,3,"C, PF",2,Right,6'10,82,215,http://www.basketball-reference.com/players/m/malonmo01.html,HOU,Houston Rockets,Houston Rockets,Rockets,Western,Southwest,#CE1138,26,1955,3/23/55,Petersburg,Virginia,"Petersburg, Virginia",-77.4019267,37.2279279,,NA,aba draft pick,aba draft pick,aba draft,aba draft,1974,10/21/76,10/18/74,2001,"22, 13, 20, 21, 24, 2, 4, 4, 2, 8, 2","Petersburg, Virginia",Petersburg ,Petersburg,Virginia,-77.4019267,37.2279279,NA,NA,,NA,NA,NA,NA,81,42,31.1,14.7,1.8,0.9,1.5,51.9,0,76.2,15.4,21.8
